,제목,작가,장르,무료공개,완결,기다무,총회차,좋아요수,성인,키워드,소개,평균별점,구매자수,전체리뷰수,별점평가자수,함께_작품들,novelindex,가중평균,링크,썸네일
433,요정의 유산,난로,판타지물,3,FALSE,TRUE,141,1400,FALSE,"'가상시대물', '서양풍', '로맨틱코미디', '첫사랑', '계략남', '오해', '천재', '뇌섹남', '짝사랑남', '오만남', '존댓말남', '평범녀', '능력녀', '짝사랑녀', '철벽녀', '성장물', '이야기중심', '조신남', '여주중심'","다정한 공녀님의 시녀가 되어 평화로운 나날을 보내던 파르메.공녀님의 거절할 수 없는 부탁으로 대규모 맞선 사기에 휘말리고 만다. 공녀를 대신해 나간 얼간이 레반토 공자와의 맞선.그런데 설마 공자도 하인을 내보냈을 줄이야! “저를 자유민으로 만들어 주십시오.”“솔레 공녀를 꼬셔 봐라.” 하인 안젤로와 공자 간에 은밀한 거래가 오가고. “공녀, 보고 싶었습니다.” 가짜 공자가 다시 파르메 앞에 나타났다. “타국의 성에 신분을 숨기고 침입한 죄는 무거울 겁니다. 경비병을 부를까요?”“당신을 보고픈 마음이 지나쳐 죄가 되었다면 어떤 죗값을 치러야 할까요?” 눈 돌아가게 잘생긴 얼굴과 매끈한 말로번지수가 잘못돼도 단단히 잘못된 구애를 퍼부으며! 눈덩이처럼 불어나는 오해와 착각, 가세하는 요정과 마법의 비밀.그리고 머리부터 발끝까지 진실한 구석이라곤 없는 주제에,잘도 마음을 파고드는 매력적인 남자. 이 사람, 설마 진심인 걸까?파르메는 절대 사랑에 빠지지 않기로 결심했다. 옛말에 두 번 속으면 속은 놈 잘못이랬다고!",4.7,5690,7409,6323,"'더 가이드', '시한부 흑막 안 구하고 떠납니다', '마녀는 쉬고 싶습니다', '광애록', '짝사랑을 끝내는 법', '플레임', '돌아버린', '스테어, 날 삼키는 시선', '소꿉친구의 전담 가이드가 되었다', '두 남편과의 결혼계약', '상단주 남편 채용의 건', '잠비'",433,4.644205327,https://ridibooks.com/books/2200043241?_rdt_sid=category-books&_rdt_idx=16,https://img.ridicdn.net/cover/2200043803/xxlarge#1
434,"그러나, 그래도, 그래서 너를",김현서,현대물,3,TRUE,FALSE,44,820,FALSE,"'첫사랑', '재회물', '상처남', '다정남', '상처녀', '잔잔물', '애잔물', '능력남', '직진남', '냉정녀', '힐링물'","갑작스럽게 아이를 잃고 삶의 의미마저 잃어버린 두 사람.서로를 위해 헤어졌던 3년. 숨은 쉬어도 죽은 것이나 다름없던 시간. 억지로 막아두었던 감정은 우습게도 맥없이 무너졌다.둑이 터진 설움이 해일처럼 쏟아져나왔다. 지독한 첫사랑이자 마지막 사랑. 잊으려고 애를 써도 그때뿐이었다.  이럴 바에야 차라리. “우리가 예전과 같을 수 없다는 걸 알아. 그래도 우리, 끝까지 가자. 해피엔딩이 아니어도 괜찮아.” 아무리 누르고 짓밟아도 죽지 않을 마음이라면 차라리. “네 남자로 살게 해줘.”",4.4,25,103,50,"'첫사랑주의보', '마이 비포 선라이즈 (My 「Before Surise」)', '아이 아빠는 처음이에요', '그에게 안기다', '다시 사랑한다 말할까?', '대단한 아가씨', '니어 앤 디어', '나는 너를 사랑하지 않을 거야', '을의 연애', '그리지 않는 이야기', '젠틀맨의 순정', '로미오의 남자', '나는 너를 원해(Je Te Veux)', '결혼 계절', '이런 사랑, 다시 할 수 있을까', '짝사랑, 있다 없으니까', '손길'",434,3.842007561,https://ridibooks.com/books/2151000130?_rdt_sid=category-books&_rdt_idx=17,https://img.ridicdn.net/cover/2151000130/xxlarge#1
435,말없이 떠나 버리면,정은금,판타지물,3,FALSE,TRUE,73,1404,FALSE,"'서양풍', '재회물', '후회남', '상처녀', '오해', '카리스마남', '왕족', '귀족', '신분차이', '계약연애', '결혼', '선결혼후연애', '소유욕', '독점욕', '질투', '능력남', '집착남', '무심남', '존댓말남', '철벽녀', '냉정녀', '무심녀'","전쟁 영웅 카인 베르나테.그에게 정부가 생겼다는 소식에 아가사는 마침내 이별을 고하기로 마음먹었다. “얘기 좀 해요. 할 말이 있어요.”“집사장을 통해서 전하라고 했을 텐데요. 무슨 연락이든.” 하지만 여전히 무심한 그의 모습에아가사는 이혼 서류만 남겨 둔 채말없이 떠나버리기로 결심했다. 하나. 결혼을 유지할 이유가 없어지면자유롭게 계약 파기를 상대에게 요구……. 그렇게 책상 위의 서류를 본 카인은 멈칫했다.순탄한 줄 알았던 결혼 생활에 갑작스러운 이혼 통보라니. “이게 무슨……. 아가사는 지금 어디 있지?” 카인은 이혼 합의서를 쥐고 그녀의 방을 찾았으나,아가사 크리스틴은 이미 사라진 후였다.온몸의 피가 빠져나가는 느낌에 그가 이를 악물었다. “이혼이라니, 누구 마음대로.” 이렇게 허무하게 그녀를 보낼 수는 없었다.아니, 그는 애초부터 그녀를 보낼 생각이 없었다.",4.6,2512,4356,2652,"'네 짝사랑의 실패를 위하여', '가짜 마님이 사라졌다', '마법경영학과 20학번 김가을', '나를 기억해 주세요', '남주들의 첫날밤을 수집합니다', '나쁜 보호자', '그녀는 복수하지 않기로 결정했다', '흑사자님, 저는 인간인데요!', '북부 대공의 집착에서 벗어나기 위해', '품격을 배반한다', '악녀가 죽었는데 남주가 미쳤다', '두 남편과의 결혼계약', '동백꽃', '피폐물 속 괴물 남주와 결혼했다'",435,4.490452548,https://ridibooks.com/books/211033517?_rdt_sid=category-books&_rdt_idx=18,https://img.ridicdn.net/cover/211033756/xxlarge#1
436,동백꽃,켄,판타지물,5,FALSE,TRUE,184,2013,FALSE,"'백합', 'GL', '동양풍', '남장여자', '삼각관계', '까칠남', '능글남', '차원이동', '군대물', '천재', '라이벌', '앙숙', '능력남', '직진남', '집착남', '오만남', '대형견남', '뇌섹녀', '능력녀', '계략녀', '까칠녀', '냉정녀', '우월녀', '걸크러시', '이야기중심', '여주중심'","* 본 도서는 삼국지 세계관을 기반으로 하고 있으므로 이용에 참고 부탁드립니다. 어느 날 눈을 떠 보니 동백은 한참 어려져 있었다.분명 평범한 대학생의 삶을 영위하는 중이었는데,삼국지 시대로 떨어져 버린 것이다. “어…… 여기가 무슨 나라죠?”“한(漢)나라지, 넌 여기가 어딘지도 모르고 있었던 게냐?” 여자로서는 생존조차 힘든 환경인 것도 모자라동백을 차원이동 시킨 까마귀 자오는그녀가 ‘앨리스’로서 살아남으려면 숙적인‘여왕’을 찾아 죽여야 한다 말한다. 그에 동백은 남장을 하기로 결심하고,권력자 장양의 양아들로 들어가삼국지의 인재들을 하나둘씩 수집하며황제의 총애를 받기에 이르는데……. “소신, 소동백. 천자의 말씀을 받잡아 이 난세를 평정하고 돌아오겠나이다.” 때는 후한 말, 혼란과 피바람의 시대.‘여왕’에게 맞서야 할 운명을 타고난, 책략가 소동백.그녀의 삼국지 속에서 생존하기 프로젝트 시작. “난 앨리스잖아. 쉽게 로그아웃하지 않는다고.”",4.7,4178,5233,4509,"'더 가이드', '광애록', '가짜 마님이 사라졌다', '마법경영학과 20학번 김가을', '나를 기억해 주세요', '남주들의 첫날밤을 수집합니다', '우리 집으로 와요', '나쁜 보호자', '말없이 떠나 버리면', '그녀는 복수하지 않기로 결정했다', '흑사자님, 저는 인간인데요!', '북부 대공의 집착에서 벗어나기 위해', '악녀가 죽었는데 남주가 미쳤다', '잠비'",436,4.623608759,https://ridibooks.com/books/211033146?_rdt_sid=category-books&_rdt_idx=19,https://img.ridicdn.net/cover/211033338/xxlarge#1
437,쓰담쓰담,선우(아이다),현대물,5,TRUE,FALSE,98,0,FALSE,,"신비주의 사진작가 하이수. 돈도 많겠다, 명성도 있겠다, 아쉬울 것 하나 없으니 세상만사 어찌 돌아가든 상관없이 조용히 돌아가는 그의 삶. 그런데 그의 일상을 파괴하는 존재가 등장했다. “사진 찍어 주면 안 잡아먹지!” 그건 바로, 스무 살의 모델 지망생 채송하. 그녀가 사진을 찍어 달라고 들러붙으면서이수는 부득이하게 버라이어티한 매일매일을 보내게 되는데……. “내가 부족해요?” 송하가 뛰쳐나가고 문소리가 들려올 줄 알았다. 그런데 그녀의 조심스러운 목소리가 그를 멈칫거리게 했다.  “나 연습하면 잘할 수 있어요. 여자 만나고 싶어요? 그럼 나로 해요.” 이건 무슨 개소리람! “네가 여자였냐?” 그의 말에 송하의 두 눈에 고통이 스쳐 간다. 하지만 곧 고통을 가면 뒤로 숨기고 어색하게 미소 짓는다. “여자예요.” 송하의 어색한 힘찬 목소리에 이수가 키득거리며 웃었다. 그러고는 몸을 돌려 걸음을 옮겼다. “미안하다. 착각하게 만들었나 보네. 좋은 경험 했다고 생각해. 아니다. 이건 키스도 아니야. 장난…….” “으!” 송하가 갑자기 뒤에서 달려와 그의 목을 끌어안고 등에 올라타 버렸다. “야! 이거 안 놔!” “나쁜 자식! 왜 그런 말 해요! 왜 아픈 말만 해! 내가 연습한다니까!” 이수는 몸을 흔들어 송하를 떼어 내려 해 보지만 그의 등에 업혀 두 다리로 그의 허리를 죄어 버린 송하는 그에게서 떨어지지 않았다. “내려와!” 이수가 위협적으로 소리쳐 보지만 송하는 그의 목을 더욱 힘껏 끌어안고 매달렸다. “다른 여자 보지 말아요! 다른 여자하고 키스하지 말란 말이에요!” 그의 등에 붙어 버린 듯 떨어지지 않는 송하를 떼어 내기 위해 이수는 두 손을 뒤로 돌려 송하를 끌어 내리려 했다. “싫어! 인정해요. 아저씨도 나 좋아하잖아! 그래서 키스한 거잖아요!”",0,0,0,0,"'보살님은 연애중', '그 남자, 날씬해진 그 여자의 사정', '정심심 Metal Cliic', '미운새끼오리', '쉬즈 베스트 (shes best)', '사랑, 불변의 법칙', '보통연애 환자와 연애할 수 있을까요', '비도화지향 (悲桃花之香)', '아랫집 강짱과 윗집 늑대들', '지금 죽으러 가는 길입니다', '목어화', '퀸을 위하여 - 1부 Story From J. Quee', '제신의 하루', '천사의 모래시계', '사랑을 꿈꾸라(‘순간을 영원히’ 시리즈 2)'",437,3.773119605,https://ridibooks.com/books/211012763?_rdt_sid=category-books&_rdt_idx=0,https://img.ridicdn.net/cover/211012763/xxlarge#1
438,궁인일기,유호영,현대물,7,TRUE,FALSE,116,10,FALSE,,"꿈에 그리던 궁인 면접을 본 날,뒤숭숭한 마음을 달래려 찾아간 술집에서친오빠인 듯한 뒷모습을 본 소윤은아침 그의 장난을 떠올리며 가차 없이 헤드록을 건다. 그런데……. “그 여자 당장 잡아!” 난데없는 소리와 함께 서늘한 손길들이 몸을 옥죄는 순간그녀는 깨달았다. 껴안고 있는 머리통의 주인공은이 나라의 왕세자이며,자신은 감히 세자에게 헤드록을 건‘미친 어택녀’가 되었다는 사실을. 입궁 전부터 크게 사고 친 그녀,일 한번 쳤다 하면 스케일이 남다른 그녀!이러다 계속 세자와 엮이면서결국 세자빈이라도 되는 거 아닌지? 어디로 튈지 모르는 좌충우돌 홍소윤의 파란만장 궁인 일기! 물컵 아래쪽에는 살짝 사이즈가 큰 스티커가 붙어 있었다. 자신의 전신이 4등신 정도로 그려진 캐릭터였다. 그 스티커에서 자신은 작은 반짝이를 두어 개 달고 붉은 근위복을 차려입고 서 있었다. 그는 단순화해서도 실제와 어딘지 흡사한, 디테일이 꽤나 잘 살려진 근위복에 감탄하다가 곁에 쓰인 제목을 읽었다. ‘근위복은 레알♥’이라는 제목을 본 순간 그는 뜻을 몰라 고개를 갸웃했다가 옆쪽으로 그려진 붉은색 하트를 보았다. 잠시 후, 그의 입가가 살짝 올라갔다. 글씨의 내용은 불확실했지만 그는 하트가 왠지 마음에 들었다. 이후 그는 의자에 등을 기댄 채 컵을 들고는 그 스티커를 요모조모 뜯어보았다. 천천히 한 잔씩 반주를 곁들이며 스티커를 들여다보는 맛이 있었다. 멀리서 누가 보면 예술품이라도 즐기는 모양새로 그는 밤이 늦도록 계단집에서 홀로 천천히 잔을 기울였다. 그렇게 마시는 술맛이 제법 달았다.",3.5,1,2,4,"'꽃같은 증인보호', '보살님은 연애중', '쓰담쓰담', '이중인격 바로잡기', '살짝궁 손 잡아드립니다', '마음 결핍 증후군', '오아시스 내 청춘', '사랑의 환상곡', '러브리폼', '아랫집 강짱과 윗집 늑대들', '신데렐라와 바보온달', '당신이 사는 세계', '내 집에 유령각시', '말썽쟁이 약혼녀', '힘센 로맨스', '원수를 사랑하라', '천사의 모래시계', '오늘은 더워요'",438,3.770448509,https://ridibooks.com/books/211010720?_rdt_sid=category-books&_rdt_idx=1,https://img.ridicdn.net/cover/211010720/xxlarge#1
439,내 집에 유령각시,김영희,현대물,5,TRUE,FALSE,90,3,FALSE,,"두 달 전, 잠이 들었다 목이 말라 깨어났을 때 주원의 눈에 보인 것은 낯선 집이었다. “……뭐, 뭐지? 대체 여기가 어디야?” 이해가 가지 않는 상황에 당황하던 그때, 그녀의 귀에 들리는 남자 목소리. 정신 똑바로 차려, 이주원.호랑이한테 물려 가도 정신만 차리면 산다고 하잖아. 참을 틈도 없이 눈물이 그렁그렁 고였다가 그대로 툭, 뺨을 타고 떨어졌다. 남자의 다리가 서서히 그녀에게로 다가오는 게 보였다. 그녀는 사시나무처럼 떨다가 울먹였다. “제발 살려 주세…… 으악!” 그리고 잠시 후. “어?” 남자는…… 그녀에게 시선조차 주지 않고 전화 통화를 이어 갔다. 마치 그녀의 존재가 보이지 않는 것처럼. 잠들면 한 남자의 집에서 영혼으로 깨어나는 유령 각시 주원과집에서 종종 보이는 다른 사람의 흔적에 의구심을 갖는 남자, 시준이 만났다?!두 사람이 보여 주는 유쾌하고 달콤한 로맨스!",0,0,1,0,"'강박증', '마음 결핍 증후군', '쉬즈 베스트 (shes best)', '보통연애 환자와 연애할 수 있을까요', '사랑의 환상곡', '아랫집 강짱과 윗집 늑대들', '신데렐라와 바보온달', '그대를 마시는 시간', '정심심 Metal Cliic', '마이 러블리 캡틴', '잠자는 꿈속의 배우님', '오아시스 내 청춘', '너랑, 나랑만', '제신의 하루', '현월', '오늘은 더워요', '기적이란 이름으로', '떴다 그녀', '퀸을 위하여 - 1부 Story From J. Quee'",439,3.773119605,https://ridibooks.com/books/211009276?_rdt_sid=category-books&_rdt_idx=2,https://img.ridicdn.net/cover/211009276/xxlarge#1
440,서울 아랑전,태이라,판타지물,5,TRUE,FALSE,80,1,FALSE,,"현란한 조명, 풀어헤친 머리칼, 절도 있는 춤사위 그리고…… 소복? 「너, 내가 보이는구나?」 서울 한복판에서 조선 시대의 소녀 귀신, 아랑과 만나게 된 이한.그는 얼결에 이름 외에는 아무것도 기억하지 못하는 그녀를 도와주기로 한다. 그런데 이게 무슨 일일까? 처음에는 우연인 줄로만 알았던 그녀와의 만남.그러나 시간이 흐를수록 시간 속에 감추어졌던 두 사람의 운명적인 인연이 드러나는데……. 「내가 궁금한 건, 내가 무슨 연고로 이 동네에 왔는지 하는 거야. 자고로 귀신은 연고 있는 곳에 나타난다고 했거든? 그런데 난 여기 아는 사람 하나 없어. 기억나는 장소도 없고. 그러니까 도령이 나 좀 도와주면 안 될까? 내가 여기서 왜 이러고 있는 건지, 언제까지 이러고 다녀야 하는 건지, 뭐 그런 것만 알아내도 상황이 지금보단 나을 것 같거든?」 어디서 본 눈망울인지 기억났다. 장화 신은 고양이였다. ‘아, 그 망할 놈의 장화 신은 고양이…….’ “그런 걸 난들 어떻게 돕겠어?” 그러나 대답하는 한의 목소리에는 이미 기운이 쭉 빠져 있었다. 그녀가 두 손을 모아 꼭 쥐고 한의 앞에 흔들었다. 「나 혼자선 한계가 있어서 본격적으로 알아볼 수가 없었어. 도령이 도와준다면 나, 금방 알아낼 수 있을 것 같아. 그런 예감이 팍팍 오거든. 제발…….」 그녀의 미간에 살포시 주름이 잡혔다. 「안 된다고 하지 말아 줘. 나 혼자선 아무것도 할 수가 없어. 이렇게 만난 것도 인연이잖아. 정말로 나, 도령 이름 알고 있었다니까?」 “아, 대체 어떻게 알고 있었단 거야?” 「그 처자들이 이한을 보러 가자고 해서 우르르 몰려가기에 나도 따라왔었거든. 그 처자들은 도령을 대단하게 생각들 하더라고. 그래서 나도 눈여겨봤지. 설마 도령이 날 알아보고 말까지 나누게 될 줄은 꿈에도 모르고 말이야.」 “날 대단한 사람이라 생각했다고?”",0,0,0,0,"'보통연애 환자와 연애할 수 있을까요', '쉬즈 베스트 (shes best)', '그 남자, 날씬해진 그 여자의 사정', '요화 요괴의 꽃', '천사의 모래시계', '마이 러블리 캡틴', '이계궁녀', '제신의 하루', '타르탄기담', '보살님은 연애중', '기적이란 이름으로', '지중해의 검은 표범', '방관자가 되는 법', '여우손님', '운신', '비도화지향 (悲桃花之香)', '기억에 살아', '퀸을 위하여 - 1부 Story From J. Quee', '사랑을 꿈꾸라(‘순간을 영원히’ 시리즈 2)'",440,3.773119605,https://ridibooks.com/books/211006759?_rdt_sid=category-books&_rdt_idx=3,https://img.ridicdn.net/cover/211006759/xxlarge#1
441,고려람여상열지사(高麗覽旅相悅之詞),아니달,역사/시대물,10,TRUE,FALSE,126,115,FALSE,"'실존역사물', '동양풍', '복수', '재회물', '초월적존재', '순정남', '초능력', '권선징악', '직진남', '대형견남', '능력녀', '사이다녀', '직진녀', '털털녀', '성장물', '추리', '미스터리', '스릴러', '피폐물', '이야기중심'","때는 고려 광종.자유의 시대, 소용돌이 같았던 고려 시대 한복판.수도 개경에서는 왕권 강화라는 명목으로 피바람이 불었다.이를 피해 지방으로 피신한 무신이 있었으니,기억 투시의 능력 때문에 두 눈을 잃은 손 씨였더라. 손 씨의 딸, 덕이는 우연히 호랑이를 구하고사람이 된 호랑이, 엄과 부부의 연을 맺어 살림을 차렸다.허나 행복은 잠시.손씨 집안의 능력을 탐한 박제현의 마수에 납치되어덕이는 그의 아들, 박주성과 강제로 혼인하는데……. 10년 뒤. 박씨 집안에서 도망친 덕이의 딸 아라가 엄을 찾아오면서속리산 호랑이 엄은 아내를, 자식을 위해 인간 세상에 뛰어든다. 온갖 부정부패가 판을 치는 고려.그 속에서 사람과 사람 아닌 것들이 뒤섞여,박씨 일가를 무너뜨리기 위한 거대한 판을 벌인다.",4,6,12,7,"'우련 붉어라', '탐라여국', '흑과 백의 퀸', '운명적 황후', '르 블랑(Le Blac)', '비형낭 연가', '미인도(美人圖) : 신수의 여인', '개정판 | 발코니의 그 녀석', '춘향환상곡', '새벽을 기다리며', '나는 너를 원해(Je Te Veux)', '묘(妙)하다', '측천황제', '그림자 얼굴', '다시 사랑한다 말할까?', '칸의 여자', '경성야사', '조선 노비 공주'",441,3.776974369,https://ridibooks.com/books/2093020932?_rdt_sid=category-books&_rdt_idx=4,https://img.ridicdn.net/cover/2093020932/xxlarge#1
442,최애캐와의 동거,갈오,판타지물,27,TRUE,FALSE,214,18,FALSE,,"게임을 하다 최애캐를 소환해낸 박주혜. 그런데 내 최애캐가 다른 차원 실존인물이었다?! 등짝 스매시를 부르는 재수생 박주혜, (이유 있읍읍) 이계에서 온 순둥 마왕 카일릭스, 그 둘과 썸을 타거나 ‘숨겨왔던 나의 마음’ 이런 것은 아니지만 주인공 중 하나인 주혜의 친오빠 박주하. 주인공 세 명이 함께 살며 부대끼고 성장해가는 지구생활 도중, 눈앞의 사람들에 으아닛챠?! 공부를 제대로 잡기로 한 재수생 박주혜는 과연 수능과 연애 모두 성공할 수 있을 것인가!",4.5,0,1,2,"'비터 로즈', '내게로 오세요', '서녀명란전', '개정판 | 더 원', '미인도(美人圖) : 신수의 여인', '북풍의 마실리아', '타르탄기담', '공작부인의 비밀', '기적이란 이름으로', '그와 그녀의 비밀', '꽃이 피어날 때', '지중해의 검은 표범', '사야나의 왕녀', '돈을 주웁시다', '에이미의 우울', '여우손님', '비도화지향 (悲桃花之香)', '금은의 왕관', '베키엄가 막내딸'",442,3.776691499,https://ridibooks.com/books/1970015469?_rdt_sid=category-books&_rdt_idx=5,https://img.ridicdn.net/cover/1970015469/xxlarge#1
443,방관자가 되는 법,손유,판타지물,4,TRUE,FALSE,80,7,FALSE,,"신력으로 가득하던 금나라가 멸망하고 천년이 흐른 율국. 율국에서도 대귀족인 진씨가문에 태어난 진이령은 사실 금나라 황녀였던 시절의 기억을 갖고 있다. 여섯 살의 겨울날, 어떠한 계기로 드디어 자신이 ‘진이령’임을 확고히 하고 세상에 발을 들이는데. “나는 진서왕이라고 하지. 들어본 적 없나?”“누구세요?” 그런데 수상한 남자가 기다렸다는 듯이 다가오기 시작한다.",0,0,0,0,"'정심심 Metal Cliic', '여우손님', '기적이란 이름으로', '저널리스트', '강박증', '주도면밀한 주은행', '운신', '지중해의 검은 표범', '애정소환', '비도화지향 (悲桃花之香)', '기억에 살아', '이계궁녀', '지금 죽으러 가는 길입니다', '절대그녀', '타르탄기담', '서울 아랑전', '요화 요괴의 꽃'",443,3.773119605,https://ridibooks.com/books/1824004951?_rdt_sid=category-books&_rdt_idx=6,https://img.ridicdn.net/cover/1824004951/xxlarge#1
444,잠자는 꿈속의 배우님,"선화, 시즈",현대물,5,TRUE,FALSE,83,3,FALSE,,"수면 과다 상태에 빠진 여배우, 인간 자명종을 구하다! 화려하고 이국적인 외모에 독보적인 연기력을 가졌지만 2%모자란 필모그래피, 속칭 ‘국민 악녀’ 유엘, 그녀에겐 말 못 할 비밀이 하나 있다. 바로 여름만 되면 발동하는 이유 모를 수면과다상태, ‘클라인 레빈 증후군’이라는 것. 시청률 보장 작가의 차기작 첫사랑 코디네이터에 유엘이 캐스팅되고, 유엘과 소속사는 기회를 잡기 위해 갖은 방법을 찾기 시작한다. 수소문 끝에 S대 정신건강의학과를 방문하게 된 유엘, 그곳에서 고등학교 후배이자 첫사랑인 ‘강연우’를 만나게 되는데.",0,0,0,0,"'보살님은 연애중', '그 남자, 날씬해진 그 여자의 사정', '정심심 Metal Cliic', '미운새끼오리', '쉬즈 베스트 (shes best)', '사랑, 불변의 법칙', '검은 눈의 공작부인', '보통연애 환자와 연애할 수 있을까요', '아랫집 강짱과 윗집 늑대들', '러브 포비아', '힘센 로맨스', '목어화', '떴다 그녀', '퀸을 위하여 - 1부 Story From J. Quee', '제신의 하루', '천사의 모래시계', '사랑을 꿈꾸라(‘순간을 영원히’ 시리즈 2)'",444,3.773119605,https://ridibooks.com/books/1818003937?_rdt_sid=category-books&_rdt_idx=7,https://img.ridicdn.net/cover/1818003937/xxlarge#1
445,첫사랑 코디네이터,"선화, 시즈",현대물,9,TRUE,FALSE,104,5,FALSE,"'첫사랑', '달달물', '짝사랑남', '짝사랑녀'","나와 꼭 닮은 시한부 친구의 첫사랑, 알고 보니 사채업자! 호스피스 병동의 간호사 수아. 어느 날 시한부 선고를 받은 중학교 동창 소은을 만난다. 수아는 소은에게 예상치못한 부탁을 받는다. 바로 첫사랑 유현을 ’대신’ 만나달라는 것. 자매라고 불릴 정도로 비슷한 얼굴의 두 사람. 결국 수아는 약속장소에서 소은인 척 유현을 만나고, 유현이 건넨 말에 까무러칠 듯 놀란다.  “기억하지? 오만 원 빌렸던 거. 십년 치 이자까지 오천만원이야.” 잘생긴 얼굴, 까칠한 성격의 부잣집 도련님이었던 유현이 십년 만에 사채업자가 되어 있다니! 수아는 유현의 말을 무시하려고 하지만, 병상에 누워 있는 소은을 떠올리고는 얼결에 대답하고 만다. ＂알았어. 대신 몸으로 갚을게.＂ 수아는 유현의 회사에서 신입으로 일하며 빚을 갚기로 하고, 그가 단순한 사채업자가 아님을 알게 된다. 점점 유현과 그의 친구들이 하는 일에 깊게 관여하면서 상상도 못한 일에 휘말리게 되고, 유현과 자신 사이에 숨겨진 오래된 비밀을 알게 되는데. 친구의 첫사랑과 수아 사이에는 대체 무슨 비밀이 있을까?  아시아를 횡단하며 펼쳐지는 본격 첫사랑 조작 소설.",0,0,0,0,"'이중인격 바로잡기', '살짝궁 손 잡아드립니다', '저널리스트', '주도면밀한 주은행', '쉬즈 베스트 (shes best)', '마음 결핍 증후군', '사랑의 환상곡', '오아시스 내 청춘', '보통연애 환자와 연애할 수 있을까요', '그녀에게 올인하다', '아랫집 강짱과 윗집 늑대들', '당신이 사는 세계', '목어화', '퀸을 위하여 - 1부 Story From J. Quee', '힘센 로맨스', '규방로맨스 - 소저의 정인', '천사의 모래시계'",445,3.773119605,https://ridibooks.com/books/1818003815?_rdt_sid=category-books&_rdt_idx=8,https://img.ridicdn.net/cover/1818003815/xxlarge#1
446,마이 시크릿 대디,강모림,현대물,7,TRUE,FALSE,122,74,FALSE,"'나이차커플', '순정남', '다정남', '금단의관계', '운명적사랑'",10살 엘리는 미국으로 입양된 후 파양되어 뉴욕의 보호시설에서 지내던 중 무료봉사 연주회를 위해 방문한 세계적인 바이올리니스트 하성현과 만난다.화재가 일어난 고아원에서 루비를 구한 성현은 루비를 불쌍히 여겨 입양하기로 하고 루비는 불행한 고아소녀에서 행복한 예술가의 딸로 새 삶을 살게 되지만...처음부터 루비에게 성현은 아버지가 아닌 남자였으며 그로 인해 루비는 힘든 사춘기를 맞게 된다. 운명에 굴복하려는 순간 양모가 갑작스러운 사고로 사망하자 루비는 성현에 대한 사랑이야말로 운명이라 믿게 되는데..,4.2,18,21,26,"'용기있는 자가 미남을 얻는다', '코럴(Coral)', '착각하지 마', '아랫집 강짱과 윗집 늑대들', '당신이 사는 세계', '신데렐라와 바보온달', '미친 남자', '말하지 않아도 괜찮아', '천사의 모래시계', '연애, 하고 있습니까', '꽃같은 증인보호', '사랑이 아니기를', '대단한 아가씨', '프리마 돈나의 로맨스 비자', '금단을 맛보다. 사랑에 취하다.', '옐로(Yellow)', '14년 후', '궁중 스캔들', '힘센 로맨스', '홈, 비터 홈'",446,3.798871091,https://ridibooks.com/books/1716000302?_rdt_sid=category-books&_rdt_idx=9,https://img.ridicdn.net/cover/1716000302/xxlarge#1
447,우리집에 왕자님이 산다,"윤소, Retpa",현대물,3,TRUE,FALSE,30,58,FALSE,"'동거', '로맨틱코미디', '재회물', '초월적존재', '순정남', '다정남', '순진녀', '왕족', '귀족', '달달물', '초능력', '외국인', '혼혈', '운명적사랑', '직진남', '순진남', '평범녀', '철벽녀', '동정녀', '건어물녀', '엉뚱녀', '힐링물', '이야기중심'","어린 시절 누구에게나 있었던 인형 왕자님. 영원한 사랑을 맹세하고 매일 꿈속에서 함께 시간을 보내고는 했었다. 평범한 여자아이라면 누구나 그 정도의 경험정도는 있지 않을까? 모든 걸 어릴 때의 추억으로 간직한 채 어른이 된 안선희. 남자는 없지만 일이 있고 친구가 있는 단조롭고도 평화로운 일상을 보내고 있는데 어느 날 밤 그가 우리 집에 찾아왔다. 무려 시종까지 거느리고. 취한 밤의 착각인 줄로만 알았는데 다음 날 아침 선희의 뺨을 쓰다듬는 다정하고...그리고...아주 작은(?) 손이 있었다. 수려한 외모, 점잖은 말투와 세련된 매너. 모든 것이 완벽한 왕자님, 앤서니스물 아홉, 안선희에게도 봄이 오는가! 싶긴 한데 문제는 그가 그 시절 그대로의 모습 (크기조차도!) 이라는 것. 과연 두 사람의 사랑은 이뤄질 수 있을까?",4.5,7,9,11,"'수상한 그들이 사는 법', '고려람여상열지사(高麗覽旅相悅之詞)', '개정판 | 발코니의 그 녀석', '아랫집 강짱과 윗집 늑대들', '측천황제', '말썽쟁이 약혼녀', '짝사랑, 있다 없으니까', '천사의 모래시계', '나는 너를 원해(Je Te Veux)', '타르탄기담', '보살님은 연애중', '레벨 업 위드 유(Level up with you)', '용용 죽겠지', '운신', '러브리폼', '썸머타임', '장미의 이름', '사랑니', '힘센 로맨스'",447,3.79234,https://ridibooks.com/books/1651000237?_rdt_sid=category-books&_rdt_idx=10,https://img.ridicdn.net/cover/1651000237/xxlarge#1
